,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
936864,713,2014-06-30 23:57:56,2014-07-01 00:09:49,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,17835,Subscriber,1974,1
936865,788,2014-06-30 23:58:15,2014-07-01 00:11:23,285,Broadway & E 14 St,40.73454567,-73.99074142,526,E 33 St & 5 Ave,40.74765947,-73.98490707,15573,Subscriber,1996,1
936866,911,2014-06-30 23:58:20,2014-07-01 00:13:31,375,Mercer St & Bleecker St,40.72679454,-73.99695094,152,Warren St & Church St,40.71473993,-74.00910627,17028,Customer,\N,0
936867,910,2014-06-30 23:58:35,2014-07-01 00:13:45,375,Mercer St & Bleecker St,40.72679454,-73.99695094,152,Warren St & Church St,40.71473993,-74.00910627,21500,Customer,\N,0
936868,140,2014-06-30 23:58:37,2014-07-01 00:00:57,335,Washington Pl & Broadway,40.72903917,-73.99404649,375,Mercer St & Bleecker St,40.72679454,-73.99695094,19221,Subscriber,1976,2
936869,851,2014-06-30 23:58:41,2014-07-01 00:12:52,528,2 Ave & E 31 St,40.74290902,-73.97706058,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,16093,Subscriber,1985,1
936870,698,2014-06-30 23:58:59,2014-07-01 00:10:37,137,E 56 St & Madison Ave,40.761628,-73.972924,422,W 59 St & 10 Ave,40.770513,-73.988038,15969,Subscriber,1978,1
936871,630,2014-06-30 23:58:59,2014-07-01 00:09:29,348,W Broadway & Spring St,40.72490985,-74.00154702,345,W 13 St & 6 Ave,40.73649403,-73.99704374,21028,Subscriber,1955,1
936872,1518,2014-06-30 23:59:03,2014-07-01 00:24:21,311,Norfolk St & Broome St,40.7172274,-73.98802084,311,Norfolk St & Broome St,40.7172274,-73.98802084,20010,Subscriber,1964,2
936873,882,2014-06-30 23:59:08,2014-07-01 00:13:50,238,Bank St & Washington St,40.7361967,-74.00859207,458,11 Ave & W 27 St,40.751396,-74.00522600000001,16805,Subscriber,1992,2
936874,251,2014-06-30 23:59:10,2014-07-01 00:03:21,463,9 Ave & W 16 St,40.74206539,-74.00443172,334,W 20 St & 7 Ave,40.74238787,-73.99726235,19302,Subscriber,1971,1
936875,1123,2014-06-30 23:59:18,2014-07-01 00:18:01,488,W 39 St & 9 Ave,40.75645824,-73.99372222,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,17303,Subscriber,1980,1
936876,608,2014-06-30 23:59:22,2014-07-01 00:09:30,308,St James Pl & Oliver St,40.71307916,-73.99851193,426,West St & Chambers St,40.71754834,-74.01322069,19456,Subscriber,1979,2
936877,336,2014-06-30 23:59:30,2014-07-01 00:05:06,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,449,W 52 St & 9 Ave,40.76461837,-73.98789473,21109,Subscriber,1979,1
936878,1299,2014-06-30 23:59:50,2014-07-01 00:21:29,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,20636,Subscriber,1988,1
936879,312,2014-06-30 23:59:50,2014-07-01 00:05:02,263,Elizabeth St & Hester St,40.717290000000006,-73.996375,250,Lafayette St & Jersey St,40.72456089,-73.99565293,20951,Subscriber,1970,1
